Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BAT1.1,10k,R_0402_1005Metric,93.5000,-30.5000,0.0000,top
BAT1.2,1.2k,R_0402_1005Metric,93.5000,-31.5000,0.0000,top
BAT1.3,100nF,C_0402_1005Metric,93.5000,-32.5000,0.0000,top
BAT1.4,100nF,C_0402_1005Metric,93.5000,-33.5000,0.0000,top
BAT1GREEN1,1k,LED_0402_1005Metric,99.0000,-35.0000,0.0000,top
BAT1RED1,1k,LED_0402_1005Metric,99.0000,-37.0000,0.0000,top
BAT2.1,10k,R_0402_1005Metric,94.0100,-48.5000,0.0000,top
BAT2.2,1.2k,R_0402_1005Metric,94.0100,-51.0000,0.0000,top
BAT2.3,100nF,C_0402_1005Metric,94.0000,-53.5000,0.0000,top
BAT2.4,100nF,C_0402_1005Metric,94.0000,-55.5000,0.0000,top
BAT2GREEN1,1k,LED_0402_1005Metric,98.5000,-60.0000,0.0000,top
BAT2RED1,1k,LED_0402_1005Metric,98.5000,-61.5000,0.0000,top
BAT3.1,10k,R_0402_1005Metric,93.0000,-72.5000,0.0000,top
BAT3.2,1.2k,R_0402_1005Metric,93.0100,-74.5000,0.0000,top
BAT3.3,100nF,C_0402_1005Metric,93.0000,-76.5000,0.0000,top
BAT3.4,100nF,C_0402_1005Metric,93.0000,-78.5000,0.0000,top
BAT3GREEN1,1k,LED_0402_1005Metric,98.5000,-83.5000,0.0000,top
BAT3RED1,1k,LED_0402_1005Metric,98.4850,-81.0000,0.0000,top
BAT4.1,10k,R_0402_1005Metric,93.0100,-94.5000,0.0000,top
BAT4.2,1.2k,R_0402_1005Metric,93.0000,-97.0000,0.0000,top
BAT4.3,100nF,C_0402_1005Metric,92.9800,-99.0000,0.0000,top
BAT4.4,100nF,C_0402_1005Metric,93.0000,-101.5000,0.0000,top
BAT4GREEN1,1k,LED_0402_1005Metric,98.0000,-106.5000,0.0000,top
BAT4RED1,1k,LED_0402_1005Metric,98.0000,-103.5000,0.0000,top
ENCC1,100nF,C_0402_1005Metric,183.0000,-121.5000,0.0000,top
ENCC2,100nF,C_0402_1005Metric,181.0000,-121.5000,0.0000,top
ENCC3,100nF,C_0402_1005Metric,178.5200,-121.5000,0.0000,top
ENCR1,10k,R_0402_1005Metric,181.0000,-123.0000,0.0000,top
ENCR2,10k,R_0402_1005Metric,178.4900,-123.0000,0.0000,top
ENCR3,10k,R_0402_1005Metric,183.0000,-123.0000,0.0000,top
GREEN1,RED,LED_0402_1005Metric,96.0000,-23.5000,0.0000,top
GREEN2,RED,LED_0402_1005Metric,99.0000,-46.5000,0.0000,top
GREEN3,RED,LED_0402_1005Metric,98.0000,-69.5000,0.0000,top
GREEN4,RED,LED_0402_1005Metric,97.5000,-91.5000,0.0000,top
J3,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,90.5000,-40.5000,-90.0000,top
R5,5.1k,R_0402_1005Metric,99.0000,-39.0000,0.0000,top
R6,5.1k,R_0402_1005Metric,99.0100,-40.5000,0.0000,top
RED1,RED,LED_0402_1005Metric,96.0150,-20.5000,0.0000,top
RED2,RED,LED_0402_1005Metric,99.0000,-43.0000,0.0000,top
RED3,RED,LED_0402_1005Metric,98.0150,-66.0000,0.0000,top
RED4,RED,LED_0402_1005Metric,97.5000,-88.5000,0.0000,top
U2,TCA9548AMRGER,Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,181.5625,-116.5000,0.0000,top
U3,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,183.0000,-23.0000,0.0000,top
U4,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,183.0000,-45.0000,0.0000,top
U5,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,182.5000,-66.8650,0.0000,top
U6,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,182.5000,-87.9050,0.0000,top
U7,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,183.2000,-37.7000,0.0000,top
U8,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,182.8000,-59.7000,0.0000,top
U9,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,182.8000,-81.7000,0.0000,top
U10,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,182.7000,-106.2000,0.0000,top
